Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Bo Bichette,TOR,159,690,29,121,102,25,5.8%,19.9%,0.186,0.339,0.298,0.343,0.484,0.354,0.353,122,6.9,25.2,0.2,4.9,19612
Max Muncy,LAD,144,592,36,95,94,2,14.0%,20.3%,0.278,0.257,0.249,0.368,0.527,0.379,0.406,140,2.1,32.1,-3.0,4.9,13301
Kyle Tucker,HOU,140,567,30,83,92,14,9.3%,15.9%,0.263,0.304,0.294,0.359,0.557,0.383,0.395,147,2.4,35.2,-6.8,4.8,18345
Rafael Devers,BOS,156,664,38,101,113,5,9.3%,21.5%,0.259,0.307,0.279,0.352,0.538,0.373,0.386,134,0.1,27.6,-3.6,4.7,17350
Will Smith,LAD,130,501,25,71,76,3,11.6%,20.2%,0.237,0.274,0.258,0.365,0.495,0.364,0.359,130,-1.0,18.4,11.1,4.6,19197
Mike Zunino,TBR,109,375,33,64,62,0,9.1%,35.2%,0.342,0.231,0.216,0.301,0.559,0.359,0.350,134,0.6,16.1,16.3,4.5,13265
Yoan Moncada,CHW,144,616,14,74,61,3,13.6%,25.5%,0.148,0.350,0.263,0.375,0.412,0.347,0.348,122,0.3,16.6,7.4,4.5,17232
Freddie Freeman,ATL,159,695,31,120,83,8,12.4%,15.4%,0.203,0.321,0.300,0.393,0.503,0.379,0.411,135,3.3,34.4,-12.6,4.5,5361
J.T. Realmuto,PHI,134,537,17,64,73,13,8.9%,24.0%,0.176,0.325,0.263,0.343,0.439,0.336,0.325,108,5.5,10.9,15.4,4.4,11739
Jake Cronenworth,SDP,152,643,21,94,71,4,8.6%,14.0%,0.194,0.283,0.266,0.340,0.460,0.341,0.342,116,2.1,15.3,7.4,4.4,18036
Manny Machado,SDP,153,640,28,92,106,12,9.8%,15.9%,0.211,0.290,0.278,0.347,0.489,0.350,0.376,122,-2.1,15.8,6.9,4.4,11493
Nicky Lopez,KCR,151,565,2,78,43,22,8.7%,13.1%,0.078,0.347,0.300,0.365,0.378,0.329,0.281,106,8.2,12.6,11.7,4.4,19339
Tim Anderson,CHW,123,551,17,94,61,18,4.0%,21.6%,0.159,0.372,0.309,0.338,0.469,0.345,0.319,120,6.1,19.6,4.5,4.3,15172
Ronald Acuna Jr.,ATL,82,360,24,72,52,17,13.6%,23.6%,0.313,0.311,0.283,0.394,0.596,0.412,0.425,157,3.8,29.7,0.4,4.2,18401
Austin Riley,ATL,160,662,33,91,107,0,7.9%,25.4%,0.227,0.368,0.303,0.367,0.531,0.379,0.361,135,-4.1,25.7,-6.0,4.2,18360
Nick Castellanos,CIN,138,585,34,95,100,3,7.0%,20.7%,0.267,0.340,0.309,0.362,0.576,0.391,0.371,140,-0.5,29.6,-7.4,4.2,11737
Byron Buxton,MIN,61,254,19,50,32,9,5.1%,24.4%,0.340,0.344,0.306,0.358,0.647,0.419,0.398,169,4.4,25.9,6.9,4.2,14161
Ozzie Albies,ATL,156,686,30,103,106,20,6.9%,18.7%,0.229,0.278,0.259,0.310,0.488,0.336,0.329,107,8.3,14.4,4.4,4.2,16556
Willy Adames,- - -,140,555,25,77,73,5,10.3%,28.1%,0.219,0.331,0.262,0.337,0.481,0.349,0.322,119,0.2,13.8,8.3,4.1,15986
Nolan Arenado,STL,157,653,34,81,105,2,7.7%,14.7%,0.239,0.249,0.255,0.312,0.494,0.336,0.309,113,-0.4,10.7,7.8,4.0,9777
Justin Turner,LAD,151,612,27,87,87,3,10.0%,16.0%,0.193,0.292,0.278,0.361,0.471,0.358,0.357,127,-1.0,19.8,-0.1,4.0,5235
Enrique Hernandez,BOS,134,585,20,84,60,1,10.4%,18.8%,0.199,0.278,0.250,0.337,0.449,0.338,0.344,110,3.0,10.2,9.3,4.0,10472
Jonathan India,CIN,150,631,21,98,69,12,11.3%,22.3%,0.190,0.326,0.269,0.376,0.459,0.363,0.353,122,-0.9,16.6,1.9,3.9,21523
Jorge Polanco,MIN,152,644,33,97,98,11,7.0%,18.3%,0.235,0.282,0.269,0.323,0.503,0.349,0.346,122,3.1,20.6,-3.3,3.9,13152
Teoscar Hernandez,TOR,143,595,32,92,116,12,6.1%,24.9%,0.227,0.352,0.296,0.346,0.524,0.369,0.365,132,2.3,25.5,-6.9,3.9,13066
Mookie Betts,LAD,122,550,23,93,58,10,12.4%,15.6%,0.223,0.276,0.264,0.367,0.487,0.365,0.354,131,-1.2,20.7,-0.1,3.9,13611
Yasmani Grandal,CHW,93,375,23,60,62,0,23.2%,21.9%,0.280,0.246,0.240,0.420,0.520,0.402,0.412,159,-4.7,22.3,2.1,3.7,11368
Myles Straw,- - -,158,638,4,86,48,30,10.5%,19.0%,0.076,0.336,0.271,0.349,0.348,0.311,0.300,98,6.1,4.3,10.9,3.7,17620
Corey Seager,LAD,95,409,16,54,57,1,11.7%,16.1%,0.215,0.336,0.306,0.394,0.521,0.389,0.392,147,-1.9,22.4,0.8,3.7,13624
Yordan Alvarez,HOU,144,598,33,92,104,1,8.4%,24.2%,0.253,0.320,0.277,0.346,0.531,0.370,0.384,138,0.5,28.6,-12.5,3.7,19556
Joey Votto,CIN,129,533,36,73,99,1,14.4%,23.8%,0.297,0.287,0.266,0.375,0.563,0.391,0.404,140,0.4,27.8,-9.1,3.7,4314
Javier Baez,- - -,138,547,31,80,87,18,5.1%,33.6%,0.229,0.352,0.265,0.319,0.494,0.344,0.320,116,3.0,14.1,4.2,3.6,12979
Kris Bryant,- - -,144,586,25,86,73,10,10.6%,23.0%,0.216,0.313,0.265,0.353,0.481,0.356,0.342,123,5.4,22.5,-6.3,3.6,15429
Trevor Story,COL,142,595,24,88,75,20,8.9%,23.4%,0.221,0.293,0.251,0.329,0.471,0.341,0.333,100,6.4,6.1,9.6,3.5,12564
Joey Gallo,- - -,153,616,38,90,77,6,18.0%,34.6%,0.259,0.246,0.199,0.351,0.458,0.348,0.351,123,4.2,21.2,-6.9,3.5,14128
Ty France,SEA,152,650,18,85,73,0,7.1%,16.3%,0.154,0.327,0.291,0.368,0.445,0.353,0.343,129,-2.7,20.6,-8.0,3.5,17982
Brandon Nimmo,NYM,92,386,8,51,28,5,14.0%,20.5%,0.145,0.366,0.292,0.401,0.437,0.369,0.345,137,-0.9,17.3,4.4,3.5,12927
Matt Chapman,OAK,151,622,27,75,72,3,12.9%,32.5%,0.193,0.272,0.210,0.314,0.403,0.311,0.320,101,2.0,2.5,10.8,3.4,16505
Adam Frazier,- - -,155,639,5,83,43,10,7.5%,10.8%,0.106,0.339,0.305,0.368,0.411,0.341,0.323,114,-0.1,11.2,2.0,3.4,15223
Harrison Bader,STL,103,401,16,45,50,9,6.7%,21.2%,0.193,0.306,0.267,0.324,0.460,0.331,0.292,110,2.5,7.6,12.9,3.4,18030
Yuli Gurriel,HOU,143,605,15,83,81,1,9.8%,11.2%,0.143,0.336,0.319,0.383,0.462,0.363,0.324,134,-1.6,23.6,-10.7,3.4,19198
Salvador Perez,KCR,161,665,48,88,121,1,4.2%,25.6%,0.271,0.298,0.273,0.316,0.544,0.359,0.369,127,-0.8,21.2,-10.3,3.4,7304
Brandon Belt,SFG,97,381,29,65,59,3,12.6%,27.0%,0.323,0.309,0.274,0.378,0.597,0.406,0.368,158,-2.1,26.2,-5.4,3.3,10264
Randy Arozarena,TBR,141,604,20,94,69,20,9.3%,28.1%,0.185,0.363,0.274,0.356,0.459,0.350,0.299,128,1.5,22.0,-9.6,3.3,19290
Sean Murphy,OAK,119,448,17,47,59,0,8.9%,25.4%,0.188,0.257,0.216,0.306,0.405,0.309,0.333,99,-1.2,-1.7,19.1,3.3,19352
Whit Merrifield,KCR,162,720,10,97,74,40,5.6%,14.3%,0.117,0.309,0.277,0.317,0.395,0.306,0.300,91,7.4,-0.3,8.3,3.3,11281
Jesse Winker,CIN,110,485,24,77,71,1,10.9%,15.5%,0.251,0.324,0.305,0.394,0.556,0.403,0.387,148,-6.5,23.3,-7.4,3.2,13590
Luis Robert,CHW,68,296,13,42,43,6,4.7%,20.6%,0.229,0.394,0.338,0.378,0.567,0.399,0.378,157,1.4,21.9,-0.1,3.2,20043
Jeimer Candelario,DET,149,626,16,75,67,0,10.4%,21.6%,0.172,0.333,0.271,0.351,0.443,0.344,0.354,119,1.0,15.3,-4.7,3.2,13621
Dansby Swanson,ATL,160,653,27,78,88,9,8.0%,25.6%,0.201,0.297,0.248,0.311,0.449,0.322,0.327,98,3.4,2.0,8.1,3.2,18314
J.P. Crawford,SEA,160,687,9,89,54,3,8.4%,16.6%,0.103,0.320,0.273,0.338,0.376,0.314,0.297,103,-2.7,-0.2,8.1,3.1,15491
Chris Taylor,LAD,148,582,20,92,73,13,10.8%,28.7%,0.183,0.337,0.254,0.344,0.438,0.338,0.327,113,6.5,16.5,-5.0,3.1,13757
Kyle Schwarber,- - -,113,471,32,76,71,1,13.6%,27.0%,0.288,0.306,0.266,0.374,0.554,0.392,0.396,145,-1.6,24.8,-10.0,3.1,16478
Pete Alonso,NYM,152,637,37,81,94,3,9.4%,19.9%,0.257,0.274,0.262,0.344,0.519,0.363,0.373,133,-5.1,21.6,-12.7,3.0,19251
Eduardo Escobar,- - -,146,599,28,77,90,1,8.0%,20.7%,0.219,0.279,0.253,0.314,0.472,0.334,0.324,107,0.4,5.4,4.6,3.0,6153
A.J. Pollock,LAD,117,422,21,53,69,9,7.1%,19.0%,0.240,0.326,0.297,0.355,0.536,0.375,0.360,137,0.6,20.7,-4.9,3.0,9256
Kolten Wong,MIL,116,492,14,70,50,12,6.3%,16.9%,0.175,0.305,0.272,0.335,0.447,0.337,0.308,109,1.4,6.8,6.3,2.9,12532
Avisail Garcia,MIL,135,515,29,68,86,8,7.4%,23.5%,0.228,0.291,0.262,0.330,0.490,0.346,0.363,115,-0.5,9.0,3.1,2.9,5760
Max Stassi,LAA,87,319,13,45,35,0,8.8%,31.7%,0.184,0.325,0.241,0.326,0.426,0.327,0.317,107,-1.4,1.2,17.1,2.9,10059
Ketel Marte,ARI,90,374,14,52,50,2,8.3%,16.0%,0.215,0.352,0.318,0.377,0.532,0.385,0.368,139,-0.4,18.2,-1.7,2.9,13613
Jose Abreu,CHW,152,659,30,86,117,1,9.3%,21.7%,0.219,0.293,0.261,0.351,0.481,0.354,0.346,126,-4.5,16.7,-10.5,2.9,15676
J.D. Martinez,BOS,148,634,28,92,99,0,8.7%,23.7%,0.232,0.340,0.286,0.349,0.518,0.364,0.371,128,-3.1,18.4,-11.4,2.9,6184
Adolis Garcia,TEX,149,622,31,77,90,16,5.1%,31.2%,0.212,0.306,0.243,0.286,0.454,0.314,0.295,100,-1.4,-1.8,9.1,2.9,19287
Mitch Haniger,SEA,157,691,39,110,100,1,7.8%,24.5%,0.232,0.281,0.253,0.318,0.485,0.340,0.351,120,-1.4,15.9,-11.2,2.8,14274
Omar Narvaez,MIL,123,445,11,54,49,0,9.2%,18.9%,0.136,0.308,0.266,0.342,0.402,0.322,0.302,99,-2.5,-3.0,16.3,2.8,13338
Miguel Rojas,MIA,132,539,9,66,48,13,6.9%,13.7%,0.127,0.295,0.265,0.322,0.392,0.311,0.291,97,1.5,-0.3,10.3,2.8,7802
Dylan Carlson,STL,149,619,18,79,65,2,9.2%,24.6%,0.172,0.332,0.266,0.343,0.437,0.336,0.318,113,0.1,10.6,-3.5,2.8,20126
Jared Walsh,LAA,144,585,29,70,98,2,8.2%,26.0%,0.232,0.335,0.277,0.340,0.509,0.357,0.323,127,-1.1,18.4,-10.8,2.8,18607
Tony Kemp,OAK,131,397,8,54,37,8,13.1%,12.8%,0.139,0.304,0.279,0.382,0.418,0.351,0.318,127,3.8,17.2,-3.6,2.7,14894
Amed Rosario,CLE,141,588,11,77,57,13,5.3%,20.4%,0.127,0.340,0.282,0.321,0.409,0.315,0.296,99,1.2,0.6,6.3,2.7,15518
Robbie Grossman,DET,156,671,23,88,67,20,14.6%,23.1%,0.176,0.286,0.239,0.357,0.415,0.337,0.332,114,2.0,13.5,-9.5,2.7,5254
Luis Urias,MIL,150,570,23,77,75,5,11.1%,20.4%,0.196,0.280,0.249,0.345,0.445,0.340,0.331,111,-0.7,7.3,0.5,2.7,16622
Francisco Lindor,NYM,125,524,20,73,63,10,11.1%,18.3%,0.181,0.248,0.230,0.322,0.412,0.317,0.341,103,2.0,4.1,5.2,2.7,12916
Giancarlo Stanton,NYY,139,579,35,64,97,0,10.9%,27.1%,0.243,0.324,0.273,0.354,0.516,0.370,0.357,137,-7.0,19.0,-12.4,2.6,4949
Joey Wendle,TBR,136,501,11,73,54,8,5.6%,22.6%,0.157,0.327,0.265,0.319,0.422,0.317,0.281,106,-0.2,3.3,5.7,2.6,13853
Mark Canha,OAK,141,625,17,93,61,12,12.3%,20.5%,0.156,0.274,0.231,0.358,0.387,0.333,0.332,115,2.0,13.6,-9.0,2.6,11445
Jacob Stallings,PIT,112,427,8,38,53,0,11.5%,19.9%,0.123,0.297,0.246,0.335,0.369,0.312,0.315,95,-1.9,-4.8,16.4,2.6,13723
Ryan McMahon,COL,151,596,23,80,86,6,9.9%,24.7%,0.195,0.306,0.254,0.331,0.449,0.334,0.324,95,-1.6,-5.4,11.0,2.5,15112
Darin Ruf,SFG,117,312,16,41,43,2,14.7%,27.9%,0.248,0.344,0.271,0.385,0.519,0.384,0.376,144,-1.0,16.5,-1.6,2.5,9929
Wander Franco,TBR,70,308,7,53,39,2,7.8%,12.0%,0.174,0.311,0.288,0.347,0.463,0.348,0.330,127,3.1,13.1,1.4,2.5,23667
Kevin Kiermaier,TBR,122,390,4,54,37,9,8.5%,25.4%,0.129,0.345,0.259,0.328,0.388,0.310,0.279,101,2.2,2.7,8.8,2.5,11038
Jean Segura,PHI,131,567,14,76,58,9,6.9%,13.8%,0.146,0.317,0.290,0.348,0.436,0.338,0.316,109,-1.2,5.4,0.5,2.5,5933
Kyle Seager,SEA,159,670,35,73,101,3,8.8%,24.0%,0.226,0.226,0.212,0.285,0.438,0.308,0.318,99,-1.9,-3.0,4.9,2.5,9785
DJ LeMahieu,NYY,150,679,10,84,57,4,10.8%,13.8%,0.094,0.301,0.268,0.349,0.362,0.315,0.338,100,-1.7,-1.9,3.1,2.4,9874
George Springer,TOR,78,342,22,59,50,4,10.8%,23.1%,0.291,0.286,0.264,0.352,0.555,0.381,0.357,140,-1.2,15.6,-3.1,2.4,12856
Adam Duvall,- - -,146,555,38,67,113,5,6.3%,31.4%,0.263,0.260,0.228,0.281,0.491,0.324,0.325,103,-2.4,0.0,5.4,2.4,10950
Austin Hays,BAL,131,529,22,73,71,4,5.3%,20.2%,0.205,0.286,0.256,0.308,0.461,0.328,0.315,106,-0.3,3.8,1.7,2.4,19363
C.J. Cron,COL,142,547,28,70,92,1,11.0%,21.4%,0.249,0.316,0.281,0.375,0.530,0.383,0.363,127,-3.2,15.6,-10.3,2.3,12546
Tommy Edman,STL,159,691,11,91,56,30,5.5%,13.7%,0.125,0.291,0.262,0.308,0.387,0.301,0.316,91,8.0,-0.4,0.8,2.3,19470
Rhys Hoskins,PHI,107,443,27,64,71,3,10.6%,24.4%,0.283,0.270,0.247,0.334,0.530,0.364,0.375,127,-1.5,13.6,-4.9,2.3,16472
Isiah Kiner-Falefa,TEX,158,677,8,74,53,20,4.1%,13.3%,0.087,0.304,0.271,0.312,0.357,0.293,0.292,85,4.2,-8.2,8.1,2.3,16512
Mike Trout,LAA,36,146,8,23,18,2,18.5%,28.1%,0.291,0.456,0.333,0.466,0.624,0.451,0.421,190,1.5,17.7,0.1,2.3,10155
Patrick Wisdom,CHC,106,375,28,54,61,4,8.5%,40.8%,0.287,0.318,0.231,0.305,0.518,0.346,0.319,115,-0.6,6.6,3.5,2.3,13602
Mike Yastrzemski,SFG,139,532,25,75,71,4,9.6%,24.6%,0.233,0.254,0.224,0.311,0.457,0.326,0.314,106,3.9,8.0,-3.1,2.2,14854
Cesar Hernandez,- - -,149,637,21,84,62,1,9.3%,21.2%,0.154,0.266,0.232,0.308,0.386,0.302,0.307,90,0.8,-6.8,7.0,2.2,10556
Josh Donaldson,MIN,135,543,26,73,72,0,13.6%,21.0%,0.228,0.268,0.247,0.352,0.475,0.353,0.385,124,-4.3,12.0,-8.5,2.2,5038
Santiago Espinal,TOR,92,246,2,32,17,6,8.9%,12.2%,0.095,0.353,0.311,0.376,0.405,0.344,0.311,115,2.3,6.8,6.6,2.2,19997
Jonathan Villar,NYM,142,505,18,63,42,14,9.1%,26.1%,0.167,0.313,0.249,0.322,0.416,0.320,0.305,105,3.6,6.8,-2.1,2.1,10071
Steven Duggar,SFG,107,297,8,45,35,7,9.1%,29.6%,0.179,0.355,0.257,0.330,0.437,0.327,0.306,107,3.7,6.3,5.1,2.1,17719
Andrew Benintendi,KCR,134,538,17,63,73,8,6.7%,18.0%,0.166,0.309,0.276,0.324,0.442,0.328,0.329,106,-0.1,3.9,-0.9,2.1,17901
Ramon Laureano,OAK,88,378,14,43,39,12,7.1%,25.9%,0.196,0.304,0.246,0.317,0.443,0.327,0.333,111,0.1,5.4,3.0,2.1,17128
Michael Brantley,HOU,121,508,8,68,47,1,6.5%,10.4%,0.126,0.337,0.311,0.362,0.437,0.347,0.360,123,-1.2,13.0,-9.1,2.1,4106
Mitch Garver,MIN,68,243,13,29,34,1,12.8%,29.2%,0.261,0.320,0.256,0.358,0.517,0.372,0.382,137,-0.1,11.0,1.9,2.1,15161
Willson Contreras,CHC,128,483,21,61,57,5,10.8%,28.6%,0.201,0.298,0.237,0.340,0.438,0.337,0.345,109,-3.7,1.8,3.2,2.1,11609
Trent Grisham,SDP,132,527,15,61,62,13,10.2%,22.6%,0.171,0.292,0.242,0.327,0.413,0.320,0.306,103,2.0,3.9,-0.7,2.1,18564
Frank Schwindel,- - -,64,259,14,44,43,2,6.2%,15.8%,0.264,0.348,0.326,0.371,0.591,0.403,0.323,152,-0.9,16.4,-4.4,2.1,15351
Josh Rojas,ARI,139,550,11,69,44,9,10.5%,24.9%,0.147,0.345,0.264,0.341,0.411,0.327,0.295,102,4.6,5.9,-3.9,2.0,19734
Alex Bregman,HOU,91,400,12,54,55,1,11.0%,13.3%,0.152,0.286,0.270,0.355,0.422,0.336,0.331,115,-2.2,5.4,1.1,2.0,17678
Austin Meadows,TBR,142,591,27,79,106,4,10.0%,20.6%,0.224,0.249,0.234,0.315,0.458,0.327,0.324,113,-1.7,7.5,-7.6,2.0,15672
Alex Verdugo,BOS,146,604,13,88,63,6,8.4%,15.9%,0.138,0.327,0.289,0.351,0.426,0.334,0.340,107,2.0,7.5,-8.0,2.0,17027
Tyler Stephenson,CIN,132,402,10,56,45,0,10.2%,18.7%,0.146,0.333,0.286,0.366,0.431,0.346,0.323,111,-2.1,3.5,2.8,2.0,17988
Daulton Varsho,ARI,95,315,11,41,38,6,9.5%,21.3%,0.190,0.286,0.246,0.318,0.437,0.322,0.324,98,5.0,4.3,4.9,2.0,19918
Nelson Cruz,- - -,140,584,32,79,86,3,8.7%,21.6%,0.232,0.286,0.265,0.334,0.497,0.346,0.357,122,-1.9,14.0,-14.3,2.0,2434
Leury Garcia,CHW,126,474,5,60,54,6,8.6%,20.5%,0.108,0.333,0.267,0.335,0.376,0.312,0.290,98,3.4,2.3,1.1,2.0,5913
Akil Baddoo,DET,124,461,13,60,55,18,9.8%,26.5%,0.177,0.335,0.259,0.330,0.436,0.329,0.307,108,3.9,8.5,-5.0,1.9,22168
Chas McCormick,HOU,108,320,14,47,50,4,7.8%,32.5%,0.190,0.341,0.257,0.319,0.447,0.327,0.311,109,-0.4,3.3,4.7,1.9,19599
Michael A. Taylor,KCR,142,528,12,58,54,14,6.3%,27.3%,0.112,0.319,0.244,0.297,0.356,0.286,0.297,77,0.3,-14.4,15.1,1.9,11489
Max Kepler,MIN,121,490,19,61,54,10,11.0%,19.6%,0.202,0.225,0.211,0.306,0.413,0.309,0.344,95,5.0,2.0,-0.1,1.9,12144
Yandy Diaz,TBR,134,541,13,62,64,1,12.8%,15.7%,0.131,0.286,0.256,0.353,0.387,0.325,0.331,111,-2.2,5.0,-5.1,1.8,16578
Hunter Renfroe,BOS,144,572,31,89,96,1,7.7%,22.7%,0.242,0.284,0.259,0.315,0.501,0.344,0.351,114,-2.6,7.3,-8.6,1.8,15464
Luis Arraez,MIN,121,479,2,58,42,2,9.0%,10.0%,0.082,0.323,0.294,0.357,0.376,0.321,0.334,103,0.7,2.5,-0.6,1.8,18568
Austin Slater,SFG,129,306,12,39,32,15,9.2%,27.5%,0.182,0.303,0.241,0.320,0.423,0.321,0.335,103,2.4,3.4,4.0,1.8,16153
Lorenzo Cain,MIL,78,286,8,40,36,13,9.1%,16.8%,0.144,0.287,0.257,0.329,0.401,0.319,0.310,97,4.0,2.9,5.1,1.8,9077
Carson Kelly,ARI,98,359,13,41,46,0,12.3%,20.6%,0.171,0.270,0.240,0.343,0.411,0.328,0.343,103,-1.0,0.1,5.2,1.7,13620
Alcides Escobar,WSN,75,349,4,53,28,3,4.9%,16.0%,0.116,0.337,0.288,0.340,0.404,0.325,0.307,100,2.4,2.6,3.0,1.7,6310
Evan Longoria,SFG,81,291,13,45,46,1,12.0%,23.4%,0.221,0.305,0.261,0.351,0.482,0.352,0.350,123,-1.8,6.7,0.6,1.7,9368
Brett Phillips,TBR,119,292,13,50,44,14,11.3%,38.7%,0.213,0.295,0.202,0.297,0.415,0.307,0.280,99,3.5,3.2,3.6,1.7,14735
Gleyber Torres,NYY,127,516,9,50,51,14,9.7%,20.2%,0.107,0.314,0.259,0.331,0.366,0.307,0.330,94,0.2,-3.5,2.5,1.7,16997
Ramon Urias,BAL,85,296,7,33,38,1,9.5%,25.7%,0.134,0.369,0.279,0.361,0.412,0.341,0.341,115,0.4,5.7,0.7,1.6,18795
Kyle Farmer,CIN,147,529,16,60,63,2,4.2%,18.3%,0.153,0.296,0.263,0.316,0.416,0.316,0.299,91,-1.5,-7.2,6.2,1.6,14813
Rafael Ortega,CHC,103,330,11,44,33,12,9.1%,21.2%,0.172,0.349,0.291,0.360,0.463,0.355,0.309,120,0.3,8.8,-3.4,1.6,10323
Brendan Rodgers,COL,102,415,15,49,51,0,4.6%,20.2%,0.186,0.328,0.284,0.328,0.470,0.341,0.308,100,-0.3,-0.5,3.2,1.6,17907
Edmundo Sosa,STL,113,326,6,39,27,4,5.2%,19.3%,0.118,0.326,0.271,0.346,0.389,0.322,0.320,104,-1.0,0.8,4.8,1.6,17022
Anthony Rizzo,- - -,141,576,22,73,61,6,9.0%,15.1%,0.192,0.258,0.248,0.344,0.440,0.339,0.342,112,-1.8,6.9,-10.1,1.6,3473
Elias Diaz,COL,106,371,18,52,44,0,8.1%,16.2%,0.219,0.249,0.246,0.310,0.464,0.330,0.315,92,-4.4,-8.0,11.7,1.6,11680
Jazz Chisholm Jr.,MIA,124,507,18,70,53,23,6.7%,28.6%,0.177,0.319,0.248,0.303,0.425,0.312,0.304,98,3.3,2.1,-3.0,1.6,20454
LaMonte Wade Jr.,SFG,109,381,18,52,56,6,8.7%,23.4%,0.229,0.289,0.253,0.326,0.482,0.343,0.345,117,-0.9,7.4,-4.3,1.6,18126
Yan Gomes,- - -,103,375,14,49,52,0,5.1%,20.8%,0.169,0.287,0.252,0.301,0.421,0.308,0.337,93,-0.9,-4.2,7.3,1.6,9627
Paul DeJong,STL,113,402,19,44,45,4,8.7%,25.6%,0.194,0.216,0.197,0.284,0.390,0.293,0.311,86,0.5,-6.8,9.1,1.6,18015
Nate Lowe,TEX,157,642,18,75,72,8,12.5%,25.2%,0.151,0.339,0.264,0.357,0.415,0.337,0.321,115,-2.2,9.5,-15.8,1.6,19566
Freddy Galvis,- - -,104,394,14,53,40,1,6.9%,19.5%,0.166,0.269,0.242,0.302,0.407,0.305,0.281,90,0.9,-4.0,6.2,1.6,6609
J.D. Davis,NYM,73,211,5,18,23,1,11.4%,32.2%,0.151,0.426,0.285,0.384,0.436,0.357,0.339,130,0.4,8.3,0.2,1.6,16219
Lourdes Gurriel Jr.,TOR,141,541,21,62,84,1,5.9%,18.9%,0.190,0.305,0.276,0.319,0.466,0.333,0.333,107,-2.0,3.0,-5.9,1.5,19238
Josh Harrison,- - -,138,558,8,58,60,9,5.6%,13.4%,0.121,0.313,0.279,0.341,0.400,0.325,0.331,103,-0.5,1.9,-5.2,1.5,8202
Ke'Bryan Hayes,PIT,96,396,6,49,38,9,7.8%,22.0%,0.116,0.321,0.257,0.316,0.373,0.301,0.296,88,0.9,-5.2,7.4,1.5,18577
Christian Yelich,MIL,117,475,9,70,51,9,14.7%,23.8%,0.125,0.321,0.248,0.362,0.373,0.325,0.335,101,1.8,2.2,-2.8,1.5,11477
Manny Pina,MIL,75,208,13,27,33,0,10.6%,18.3%,0.250,0.162,0.189,0.293,0.439,0.315,0.328,95,-0.2,-1.7,9.8,1.5,2829
Tommy Pham,SDP,155,561,15,74,49,14,13.9%,22.8%,0.154,0.280,0.229,0.340,0.383,0.318,0.351,102,1.1,2.2,-5.7,1.5,2967
Matt Duffy,CHC,97,322,5,45,30,8,7.8%,19.6%,0.093,0.351,0.287,0.357,0.381,0.327,0.326,102,-1.5,-0.4,4.6,1.5,13836
Charlie Blackmon,COL,150,582,13,76,78,3,9.3%,15.6%,0.140,0.305,0.270,0.351,0.411,0.333,0.354,94,1.4,-2.8,-1.7,1.5,7859
Jonathan Schoop,DET,156,674,22,85,84,2,5.5%,19.7%,0.157,0.317,0.278,0.320,0.435,0.324,0.309,105,-2.1,2.0,-10.3,1.5,11265
Gary Sanchez,NYY,117,440,23,54,54,0,11.8%,27.5%,0.219,0.230,0.204,0.307,0.423,0.314,0.334,99,-3.5,-3.8,3.5,1.5,11442
Tyrone Taylor,MIL,93,271,12,33,43,6,7.4%,21.8%,0.210,0.277,0.247,0.321,0.457,0.333,0.312,106,0.5,2.5,3.0,1.5,13675
Ryan Mountcastle,BAL,144,586,33,77,89,4,7.0%,27.5%,0.232,0.297,0.255,0.309,0.487,0.335,0.325,111,-1.2,6.6,-12.2,1.4,18373
Wil Myers,SDP,146,500,17,56,63,8,10.8%,28.2%,0.179,0.333,0.256,0.334,0.434,0.330,0.294,109,0.5,6.5,-9.0,1.4,10047
Danny Jansen,TOR,70,205,11,32,28,0,8.3%,21.5%,0.250,0.233,0.223,0.299,0.473,0.329,0.331,105,-0.5,0.7,6.4,1.4,16535
Francisco Mejia,TBR,84,277,6,31,35,0,6.1%,17.7%,0.156,0.299,0.260,0.322,0.416,0.320,0.285,108,-0.5,2.0,2.5,1.4,16403
Brett Gardner,NYY,140,461,10,47,39,4,13.0%,21.7%,0.140,0.269,0.222,0.327,0.362,0.305,0.289,93,3.3,-0.6,-1.3,1.4,9927
Connor Joe,COL,63,211,8,23,35,0,12.3%,19.4%,0.184,0.323,0.285,0.379,0.469,0.366,0.369,116,1.1,5.4,1.4,1.4,16572
Tyler Naquin,CIN,127,454,19,52,70,5,7.7%,23.3%,0.207,0.318,0.270,0.333,0.477,0.345,0.337,110,-0.8,5.1,-6.3,1.4,13359
Josh Bell,WSN,144,568,27,75,88,0,11.4%,17.8%,0.215,0.276,0.261,0.347,0.476,0.352,0.361,118,-6.0,7.1,-12.2,1.4,13145
Manuel Margot,TBR,125,464,10,55,57,13,8.0%,15.1%,0.128,0.281,0.254,0.313,0.382,0.301,0.316,95,1.6,-1.2,-0.9,1.4,14712
Reese McGuire,TOR,78,217,1,22,10,0,6.9%,20.3%,0.091,0.318,0.253,0.310,0.343,0.289,0.281,78,0.8,-5.1,11.2,1.3,15674
Franmil Reyes,CLE,115,466,30,57,85,4,9.2%,32.0%,0.268,0.314,0.254,0.324,0.522,0.354,0.351,125,-5.8,8.7,-11.2,1.3,14566
